,UNICAST (2048),UNICAST (34525),UNICAST (2054),BROADCAST (2048),UNICAST (35130),UNICAST (35020),BROADCAST (2054)
2021-05-07 20:56:39.413633,14.0,240.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.414188,14.0,241.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.414693,14.0,242.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.415026,14.0,243.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.415340,14.0,244.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.415650,14.0,245.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.415937,14.0,246.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.416221,14.0,247.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.416506,14.0,248.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.416981,14.0,249.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.417624,14.0,250.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.418293,14.0,251.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.418965,14.0,252.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.419743,14.0,253.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.420430,14.0,254.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.421095,14.0,255.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.421841,14.0,256.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.422563,14.0,257.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.423233,14.0,258.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.423880,14.0,259.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.424498,14.0,260.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.424972,14.0,261.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.425324,14.0,262.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.425639,14.0,263.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.426104,14.0,264.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.426583,14.0,265.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.427074,14.0,266.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.427653,14.0,267.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.428073,14.0,268.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.428650,14.0,269.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.429120,14.0,270.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.429444,14.0,271.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.429744,14.0,272.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.430042,14.0,273.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.430372,14.0,274.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.430818,14.0,275.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.431248,14.0,276.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.431565,14.0,277.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.431856,14.0,278.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.432144,14.0,279.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.432431,14.0,280.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.432717,14.0,281.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.433006,14.0,282.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.433291,14.0,283.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.433573,14.0,284.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.433857,14.0,285.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.434146,14.0,286.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.434567,14.0,287.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.434870,14.0,288.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.435177,14.0,289.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.435490,14.0,290.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.435794,14.0,291.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.436079,14.0,292.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.436372,14.0,293.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.436690,14.0,294.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.437015,14.0,295.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:39.437330,14.0,296.0,0.0,0.0,0.0,0.0,0.0
